°¡,6,6,3,1
°¢,4,4,3,1
°£,5,2,2,3
°¤,4,2,3,4
°¥,3,4,1,1
°¦,5,3,2,3
°§,3,3,2,3
°¨,7,7,0,1
°©,8,10,2,1
°ª,7,8,3,3
°«,4,2,3,6
°¬,1,2,1,1
°­,8,5,2,1
°®,4,2,3,4
°¯,4,5,4,3
°°,7,5,2,4
°±,5,1,3,5
°²,2,0,2,4
°³,5,5,1,2
°´,3,1,3,5
°µ,8,4,2,1
°¶,4,5,0,1
°·,5,2,3,5
°¸,3,1,3,5
°¹,6,4,2,2
°º,4,5,1,2
°»,4,7,1,1
°¼,4,4,0,0
°½,5,3,2,3
°¾,5,3,5,4
°¿,7,6,5,4
°À,2,3,3,4
°Á,5,4,2,4
°Â,3,5,4,4
°Ã,3,6,5,5
°Ä,3,5,6,5
°Å,4,6,0,0
°Æ,4,7,3,2
°Ç,1,1,2,2
°È,2,2,1,1
°É,5,6,0,0
°Ê,5,6,1,2
°Ë,0,0,1,1
°Ì,4,5,2,1
°Í,3,4,0,0
°Î,3,1,3,3
°Ï,6,4,2,2
°Ð,8,9,0,0
°Ñ,4,5,1,1
°Ò,6,5,1,1
°Ó,3,4,1,1
°Ô,10,10,6,1
°Õ,5,5,1,1
°Ö,3,4,2,2
°×,3,2,0,1
°Ø,4,3,1,2
°Ù,4,2,0,1
°Ú,6,6,2,2
°Û,4,3,0,2
°Ü,2,3,2,3
°Ý,7,1,0,2
°Þ,5,5,1,4
°ß,7,2,2,1
°à,6,4,0,1
°á,6,5,5,5
°â,2,2,2,4
°ã,5,4,4,4
°ä,3,5,3,4
°å,2,2,2,4
°æ,3,4,1,4
°ç,2,3,3,3
°è,3,2,2,2
°é,2,2,1,2
°ê,7,5,6,5
°ë,2,1,1,1
°ì,1,2,2,2
°í,4,1,1,4
°î,4,2,2,1
°ï,5,5,3,1
°ð,5,3,3,2
°ñ,5,5,5,3
°ò,7,6,5,3
°ó,6,2,2,4
°ô,6,3,2,2
°õ,7,6,4,3
°ö,6,4,1,0
°÷,7,5,4,4
°ø,4,5,4,3
°ù,5,5,5,3
°ú,5,5,1,1
°û,7,5,2,2
°ü,4,3,1,1
°ý,4,5,3,5
°þ,3,4,4,2
±¡,6,6,6,1
±¢,6,6,6,1
±£,3,4,1,2
±¤,5,5,1,2
±¥,5,4,1,4
±¦,4,1,2,2
±§,5,4,2,2
±¨,3,3,3,2
±©,5,5,4,3
±ª,1,2,4,6
±«,9,6,1,3
±¬,5,6,6,5
±­,2,2,2,2
±®,7,6,0,3
±¯,6,3,2,1
±°,4,4,0,2
±±,2,3,0,2
±²,9,3,0,1
±³,5,5,1,3
±´,1,3,1,1
±µ,4,4,1,3
±¶,4,3,2,2
±·,1,4,2,3
±¸,4,3,1,2
±¹,4,4,3,3
±º,4,3,4,3
±»,3,3,3,5
±¼,3,4,1,2
±½,3,3,1,1
±¾,2,1,1,1
±¿,4,3,2,3
±À,7,7,2,2
±Á,8,4,2,5
±Â,4,4,2,1
±Ã,4,3,2,3
±Ä,11,11,2,2
±Å,4,3,2,3
±Æ,8,6,1,1
±Ç,8,7,0,2
±È,2,2,0,2
±É,8,8,2,1
±Ê,5,3,1,3
±Ë,2,3,1,5
±Ì,9,5,0,2
±Í,5,7,1,4
±Î,3,5,4,4
±Ï,3,3,0,2
±Ð,5,4,1,5
±Ñ,2,3,3,4
±Ò,1,4,1,1
±Ó,3,3,1,3
±Ô,5,6,2,2
±Õ,2,3,3,1
±Ö,2,3,4,4
±×,3,5,4,5
±Ø,0,2,2,2
±Ù,7,5,2,2
±Ú,9,6,2,2
±Û,10,7,3,3
±Ü,9,6,3,3
±Ý,5,4,2,3
±Þ,9,9,1,2
±ß,3,3,2,2
±à,6,6,2,4
±á,3,4,3,3
±â,4,6,2,1
±ã,4,4,1,2
±ä,2,2,4,3
±å,1,1,2,0
±æ,6,4,4,3
±ç,7,3,5,3
±è,8,2,4,5
±é,6,7,3,2
±ê,3,2,3,2
±ë,5,5,0,7
±ì,8,7,3,2
±í,3,2,1,3
±î,7,6,4,6
±ï,2,4,6,5
±ð,3,6,2,1
±ñ,7,6,4,3
±ò,2,2,2,5
±ó,5,3,4,1
±ô,4,6,3,5
±õ,3,2,4,5
±ö,3,2,2,4
±÷,4,3,3,5
±ø,2,2,1,2
±ù,1,1,3,3
±ú,3,3,3,2
±û,2,2,2,1
±ü,4,2,1,2
±ý,3,3,1,5
±þ,2,3,4,3
²¡,3,3,4,2
²¢,2,2,1,2
²£,5,3,1,3
²¤,3,4,3,4
²¥,6,5,3,3
²¦,3,2,3,4
²§,5,2,1,3
²¨,2,2,3,4
²©,6,5,4,0
²ª,5,6,2,2
²«,6,5,5,1
²¬,6,3,0,3
²­,5,4,3,4
²®,3,3,0,2
²¯,4,5,1,1
²°,5,4,3,3
²±,7,6,2,2
²²,8,6,5,1
²³,5,6,4,3
²´,3,2,2,2
²µ,3,3,3,2
²¶,5,4,3,1
²·,0,1,1,0
²¸,6,5,2,0
²¹,1,2,3,2
²º,7,5,0,1
²»,1,1,1,1
²¼,2,3,1,1
²½,2,3,0,2
²¾,7,6,7,3
²¿,5,3,4,2
²À,2,4,2,2
²Á,6,2,6,8
²Â,6,4,2,3
²Ã,3,3,4,4
²Ä,2,2,2,2
²Å,1,1,1,1
²Æ,2,4,2,2
²Ç,6,3,3,3
²È,6,5,3,3
²É,2,1,3,3
²Ê,2,1,3,6
²Ë,3,3,3,3
²Ì,5,3,4,5
²Í,6,3,5,6
²Î,2,1,2,5
²Ï,5,4,2,1
²Ð,4,1,2,3
²Ñ,4,4,1,4
²Ò,2,2,3,6
²Ó,1,4,2,2
²Ô,3,5,2,1
²Õ,4,5,5,3
²Ö,2,3,2,1
²×,2,3,4,2
²Ø,8,10,2,2
²Ù,8,8,2,2
²Ú,7,5,3,4
²Û,8,7,1,1
²Ü,7,6,0,0
²Ý,5,5,0,0
²Þ,2,6,2,2
²ß,4,5,3,3
²à,1,6,2,2
²á,3,4,2,2
²â,1,5,4,2
²ã,5,2,1,2
²ä,9,9,2,2
²å,7,4,1,3
²æ,1,0,2,1
²ç,4,4,0,1
²è,2,4,3,2
²é,5,3,1,1
²ê,8,5,1,2
²ë,3,5,4,3
²ì,5,1,5,7
²í,2,5,2,2
²î,5,2,1,1
²ï,4,4,2,4
²ð,2,3,2,3
²ñ,4,5,1,2
²ò,1,2,3,6
²ó,5,5,3,4
²ô,3,2,3,6
²õ,7,6,2,1
²ö,5,5,2,6
²÷,5,5,3,4
²ø,8,4,1,4
²ù,5,2,2,4
²ú,2,1,2,2
²û,5,5,3,1
²ü,11,9,2,2
²ý,6,4,0,0
²þ,6,5,1,2
³¡,4,2,1,3
³¢,4,3,2,2
³£,4,8,2,1
³¤,1,1,1,2
³¥,4,4,2,3
³¦,5,3,2,4
³§,1,1,0,1
³¨,4,5,3,3
³©,5,4,1,3
³ª,8,6,0,0
³«,6,5,0,1
³¬,6,6,2,2
³­,1,3,3,3
³®,3,3,2,4
³¯,8,6,1,1
³°,10,8,1,1
³±,8,6,3,2
³²,4,3,4,4
³³,2,4,2,2
³´,0,3,4,4
³µ,3,1,0,1
³¶,3,3,1,1
³·,7,3,4,5
³¸,6,6,3,2
³¹,3,5,1,3
³º,6,2,5,5
³»,3,3,4,3
³¼,4,4,0,0
³½,3,3,1,4
³¾,2,2,2,1
³¿,6,5,1,4
³À,2,3,1,4
³Á,3,4,2,2
³Â,3,2,3,3
³Ã,3,3,2,5
³Ä,2,2,4,2
³Å,7,7,3,3
³Æ,2,2,3,5
³Ç,4,4,2,2
³È,6,3,4,5
³É,2,3,2,2
³Ê,5,3,0,0
³Ë,3,4,1,4
³Ì,6,4,1,2
³Í,3,4,2,3
³Î,5,2,5,5
³Ï,3,4,3,3
³Ð,5,1,2,3
³Ñ,7,4,1,1
³Ò,8,8,2,0
³Ó,3,2,2,3
