誓,7,5,2,3
迭,4,3,2,3
意,5,3,4,2
祺,5,3,3,2
厮,6,5,1,4
锚,7,6,0,2
红,4,1,0,3
罹,6,7,2,2
慌,4,7,2,2
茹,4,4,1,2
拷,5,4,2,2
楼,3,2,4,5
叉,1,0,2,1
猎,5,5,1,2
腺,7,5,3,4
兽,6,5,1,1
靠,10,5,0,1
完,4,2,1,3
发,2,1,2,3
真,6,3,1,1
树,3,2,4,2
畸,7,7,2,1
宿,5,3,1,4
陽,6,6,3,4
嫩,5,3,3,5
适,6,4,1,2
慈,5,1,5,6
態,4,7,5,6
初,2,3,3,3
劳,3,6,1,1
上,2,1,0,0
珊,6,5,2,2
寸,1,1,2,0
骗,7,9,3,1
威,3,2,2,4
麵,7,8,4,6
木,1,1,1,1
纳,3,2,2,4
鲜,8,4,1,3
蜜,4,4,5,4
泵,4,3,2,3
掩,6,5,2,2
隅,6,6,3,2
挚,5,4,3,3
粥,7,7,4,2
孕,4,3,1,3
谢,6,4,4,3
晓,7,7,0,2
宸,4,3,2,6
垠,5,3,1,2
凤,3,2,1,2
焖,1,4,6,3
娆,5,5,1,4
撕,6,5,2,4
梧,6,5,1,1
冈,1,2,2,1
代,1,2,2,1
凳,7,4,3,5
雏,8,3,1,3
屿,4,5,1,0
崋,5,6,0,0
略,6,5,1,2
幻,3,1,2,2
认,1,2,2,2
嗨,6,4,5,2
籣,11,9,4,4
滙,6,3,3,2
益,3,4,2,2
熔,3,3,5,6
劵,3,3,3,3
枼,4,4,1,1
浆,2,2,4,5
拿,6,4,2,2
纸,4,2,1,6
龙,2,3,1,2
厉,3,3,1,2
桩,4,3,2,2
焚,2,3,4,4
许,3,2,1,2
众,0,3,3,3
低,2,3,2,4
營,5,9,4,5
藻,8,9,3,2
芸,4,2,1,1
赤,2,3,2,2
轰,5,1,2,3
瓯,4,3,2,2
農,6,7,1,4
嘉,8,7,2,2
洼,4,2,2,1
贵,4,6,1,1
叹,3,2,1,1
刘,1,2,3,1
腰,7,6,2,3
治,3,2,3,2
刑,2,4,1,1
墩,8,4,3,3
硕,5,5,1,3
针,4,2,0,2
狗,3,4,2,3
反,1,1,1,3
運,8,6,1,1
讯,3,3,2,1
陪,5,3,4,2
榈,6,7,3,1
犹,2,3,2,3
卒,2,3,3,2
穴,1,0,2,3
鍋,8,8,3,2
阀,2,4,4,2
应,2,1,3,2
围,5,4,1,0
汇,2,1,2,1
饱,5,4,1,4
纫,3,3,1,5
义,0,0,2,1
開,8,6,1,1
秉,4,2,1,2
都,6,4,2,2
謀,9,5,2,1
豆,4,2,1,1
何,3,4,1,1
翳,9,6,6,6
找,2,2,3,2
栓,4,3,2,2
岚,3,5,1,2
埸,6,6,1,3
逢,6,2,2,3
處,6,5,1,6
丈,1,1,1,1
仃,1,2,1,1
傻,4,6,2,6
司,4,3,1,0
闷,1,3,4,1
空,3,1,2,3
抚,4,3,1,2
裂,3,3,4,5
秒,1,3,3,4
明,6,4,1,1
粗,5,3,2,2
繹,8,7,3,4
显,4,4,1,1
雨,2,3,3,2
倍,4,3,2,2
光,2,3,1,2
戒,2,3,2,2
田,3,3,0,0
论,2,4,2,3
篇,6,8,3,3
撷,7,7,2,3
靜,10,5,4,3
羯,8,6,3,3
矩,6,3,1,2
裱,4,3,3,5
示,2,1,2,1
货,2,7,1,3
淼,3,3,6,6
灵,3,2,2,2
圓,8,6,1,1
钓,4,2,2,3
址,4,3,0,0
骂,7,7,1,0
腔,6,3,3,4
魂,8,2,2,4
即,4,4,2,1
門,6,4,1,0
轻,6,2,1,2
皮,2,2,1,3
沛,2,3,4,1
葆,4,6,1,2
茜,4,6,0,1
郊,2,1,5,3
讲,3,3,1,2
浸,5,3,3,2
丘,2,2,0,1
封,5,3,2,0
夺,2,2,3,1
簧,7,7,2,3
珍,3,2,1,4
战,4,4,2,1
泌,0,1,5,3
澋,6,5,5,2
腚,6,3,3,4
駿,6,3,7,5
邑,5,6,0,0
眯,5,3,2,2
习,1,1,2,1
望,8,4,2,1
抱,5,4,2,2
诗,4,3,3,1
膠,5,5,6,7
朴,1,2,2,1
画,5,5,0,0
逐,3,2,3,5
琐,4,5,2,2
回,4,4,0,0
閣,9,6,2,2
言,5,2,1,0
荟,4,3,2,2
