<,0,0,0,0
毌,3,3,0,0
艹,1,2,0,0
食,3,2,3,3
&CDP-8C4E;,1,0,1,1
儿,1,2,0,1
长,1,1,1,2
巿,2,3,2,0,
聿,5,2,0,0
丘,2,2,0,1
乚,1,2,0,0
金,3,1,2,2
飞,1,1,2,1
𠄌,0,1,0,1
&CDP-8A49;,4,4,0,2
&CDP-88E2;,1,1,0,2
㔾,2,2,1,0,
牙,2,2,1,1
垂,5,3,0,1,
𠃑,1,2,0,0
入,0,0,1,1
冘,2,2,0,3,
&CDP-8BD0;,4,3,1,0
井,2,2,0,1
𩰋,2,2,0,0
乙,2,1,0,1
卩,1,2,1,0
飛,2,3,2,4,
㇓,1,0,0,1
卐,3,3,0,0
廿,2,2,0,0
书,2,3,2,0
乜,2,3,1,0
七,2,2,0,0
乄,0,0,2,1
&CDP-8B7C;,3,2,1,1
曰,3,2,0,0
㇇,1,0,0,1
㐧,1,1,2,2
饣,1,1,0,3
不,1,1,1,1
&CDP-8977;,0,1,2,2
旡,3,4,0,1
贝,1,3,1,1
⺈,1,0,0,2
亜,4,4,0,0
串,4,5,0,0
&CDP-8C66;,0,1,1,3
&CDP-88D3;,1,0,1,1
丫,0,1,1,1
肀,3,2,0,0
五,3,2,0,0
𠃓,2,1,1,3,
业,1,2,1,1
&CDP-89B0;,7,4,0,0
凸,4,4,0,0
文,1,0,2,1
生,3,1,0,1
卜,0,1,1,0
禾,1,1,1,2
齿,3,4,1,1
我,1,2,3,3
&CDP-8CE4;,2,1,0,2
车,3,1,0,1
丁,1,1,1,0
⺌,0,1,1,1
𠂆,0,1,0,2
&CDP-89DE;,2,3,2,1
曱,3,3,0,0
凹,4,4,0,0
𠁣,3,2,0,0,
匸,2,1,0,0
&CDP-88EE;,0,1,1,2
宀,1,0,1,2
丶,0,0,1,0
&CDP-89E4;,2,3,0,1
𠃎,1,1,0,0,
大,1,1,1,1
卝,2,2,0,0
口,2,2,0,0
黽,6,6,0,0,
灬,0,0,3,1
&CDP-87C5;,5,5,0,0
臣,4,4,0,0
扌,1,1,1,1
㠯,4,3,0,0
斗,1,1,2,0
厶,1,0,1,1
丩,0,2,0,1
了,1,1,1,1
尸,2,2,0,1
,3,0,0,1
牜,1,2,0,1
来,2,1,2,2
八,0,0,1,1
竹,2,2,1,2
乐,2,2,2,2
△,1,0,1,1
丱,2,4,0,1
龜,11,6,1,2
臾,4,3,1,2
訁,5,2,1,0
⿱,0,0,0,0
彐,3,1,0,0
コ,2,1,0,0
&CDP-8960;,2,2,0,0,
𡗗,3,1,1,1
円,2,3,1,0
夕,1,0,1,2
而,2,4,1,1
𠘧,2,2,0,1,
甫,4,3,2,0
𠄎,2,2,1,1
𠂒,2,1,0,1,
龰,1,1,1,1
彡,0,0,0,3
已,3,3,0,0
⑮,0,0,0,0
民,3,2,1,2
𠂉,1,0,0,1
&CDP-89A9;,3,3,0,2,
𩙿,6,2,1,1
史,2,3,1,1
&CDP-8959;,1,2,2,0
乀,0,0,1,1
秉,5,1,1,1
⺧,2,1,0,1
䒑,1,0,1,1
里,5,3,0,0
山,1,3,0,0
未,2,1,1,1
㸦,2,2,1,0
夷,4,4,2,1
㱐,3,2,1,1
丬,0,1,1,1
气,3,1,1,1
革,5,5,0,0
乑,0,1,1,4
𠃌,1,1,1,0
戊,1,2,1,2
隶,3,2,3,2
&CDP-8BF8;,4,3,0,0
刂,0,2,1,0
⿵,0,0,0,0
火,0,1,2,2
&CDP-8CD4;,5,2,0,3
矛,2,1,1,3
&CDP-8DDF;,3,4,1,0
虍,3,3,0,3
耳,3,2,0,1
龵,3,0,0,2
瓜,1,3,2,3
&CDP-8BBF;,2,2,1,0
丨,0,1,0,0
乡,2,0,0,3
弓,3,3,1,0
⿶,0,0,0,0
习,1,1,2,1
𠂇,1,0,0,1
欠,1,1,1,3
丣,5,4,0,1
&CDP-8D46;,4,3,1,2
亊,4,1,2,1
谷,2,2,2,2
阝,1,1,2,1
𠂎,0,2,0,3
車,5,3,0,0
束,3,3,1,1
㐅,0,0,1,1
日,3,2,0,0
丂,2,2,1,0
予,2,1,2,2
,3,1,1,1
𠃊,1,1,0,0
冂,1,2,1,0
及,2,1,1,3
𫠣,2,2,0,0,
冖,1,2,0,0,
纟,2,0,0,3
衣,1,1,2,3
𠃛,3,2,1,0,
&CDP-8661;,1,0,1,2
斤,1,2,0,2
⺀,0,0,2,0
册,3,4,2,2
内,1,2,2,1
㇉,1,2,1,0
示,2,1,2,1
&CDP-89B9;,3,4,0,1
&CDP-8C4B;,3,4,0,1
士,2,1,0,0
丸,1,2,1,1
巨,4,2,0,0
由,3,3,0,0
,3,1,0,0
為,3,2,5,4
孒,2,1,1,1
戼,6,4,0,1
巴,3,4,0,0
礻,1,1,2,1
户,2,2,1,1
千,2,1,0,1
⺁,1,1,0,2
皿,2,4,0,0
辶,2,1,1,1
方,2,2,2,1
两,2,2,2,2
钅,3,1,0,2
万,2,2,1,1
艹,2,2,0,0
又,1,0,1,1
乂,0,0,1,1
朿,2,3,2,1
丌,1,2,0,1
巾,1,3,1,0
戉,1,2,1,2
爲,4,2,6,3
亡,2,1,1,0
&CDP-876E;,3,3,0,0
罒,2,4,0,0
氏,2,2,1,3,
头,1,1,3,1
之,2,0,2,1
䍏,2,4,1,0
丏,3,3,1,0
立,2,0,2,1
&CDP-89E0;,3,4,0,0
,2,2,0,0
⿳,0,0,0,0
〢,0,2,0,0
𩰊,3,2,0,0,
爫,1,0,2,2
毋,3,3,1,1
女,1,0,1,2
&CDP-89DF;,4,3,1,1
孓,1,1,2,1
釆,2,1,2,2
⿴,0,0,0,0
犭,0,1,1,2
几,2,2,0,1,
&CDP-884A;,3,1,0,0
龷,2,2,0,0
发,2,1,2,3
田,3,3,0,0
,1,0,1,1
卄,1,2,0,0
&CDP-88D5;,0,0,1,2
牛,2,1,0,1
力,1,2,1,1
九,2,2,0,1
年,3,2,0,1
&CDP-8D6B;,3,4,0,0
亚,2,2,1,1
亠,1,0,1,0
&CDP-8846;,1,2,3,2
本,2,1,1,1
屯,3,3,0,0
𠃋,1,0,0,1
见,2,4,0,1
瓦,2,2,1,1
夊,1,0,1,2
&CDP-8CBD;,0,1,0,2
&CDP-8665;,0,1,1,1
ス,1,0,1,1
水,1,1,2,2
酉,4,4,0,1
曲,3,4,0,0
勹,1,1,1,1
夫,2,1,1,1
兀,2,2,0,1,
丈,1,1,1,1
&CDP-8C7A;,4,2,0,0
隹,4,2,1,1
兆,1,2,2,3
&CDP-8961;,1,0,2,2
廴,3,0,1,2
豆,4,2,1,1
⺆,1,2,1,1
忄,0,1,1,1
丐,3,3,1,0
彑,3,0,0,2
彳,0,1,0,2
㐆,4,3,1,2
凵,1,2,0,0
⿲,0,0,0,0
重,7,3,0,1
虫,3,3,1,0
专,3,1,1,2
釒,2,1,2,3
片,2,3,0,1
乍,3,1,0,1
四,3,4,0,1
广,1,1,1,1
東,4,3,1,1
&CDP-8A4E;,6,3,1,0
⺪,2,2,0,2
𠂤,4,3,0,1
豸,0,1,2,5,
糸,2,1,3,3
⿹,0,0,0,0
米,1,1,2,2
王,3,1,0,0
母,3,2,3,0
朱,2,1,1,2
③,0,0,0,0,
臼,4,2,0,1
尺,2,2,1,1
肉,1,2,3,2
⿰,0,0,0,0
疌,6,1,1,1
一,1,0,0,0
小,0,1,2,1
㐁,3,2,1,1
耂,2,1,0,1
𭕄,0,0,2,1,
&CDP-89CC;,2,2,0,0
匚,2,1,0,0
𥘅,1,3,0,1
工,2,1,0,0
冉,3,3,1,0
㣺,0,1,2,1
甘,3,2,0,0
果,4,3,1,1
⺄,1,1,1,0
𣎳,2,3,0,1,
自,4,2,0,1
柬,3,3,2,2
非,6,2,0,0
人,0,1,1,1
幺,2,0,1,2
尢,2,2,0,1
疒,1,1,2,1
㐄,2,1,0,1
事,6,4,1,0
⿻,0,0,0,0
玉,3,1,1,0
&CDP-8BC5;,1,1,0,1
,1,0,0,1
丿,0,1,0,1
弗,3,5,1,1
刁,1,1,1,1
&CDP-89EE;,4,6,0,1
𠁁,9,8,0,0,
卯,1,4,1,2
羊,3,1,1,1
曳,3,3,1,1
𦣞,4,5,0,0,
讠,1,1,1,1
&CDP-8BEA;,0,2,0,1
囗,2,2,0,0
厂,1,1,0,1
缶,3,3,0,1
兂,3,2,0,2
襾,3,4,0,0
才,1,1,1,1
&CDP-8CB5;,0,2,2,2
寸,1,1,2,0
尹,3,2,0,1
止,2,2,0,0
于,2,1,1,0
&CDP-8CAC;,1,1,0,2
&CDP-896A;,4,3,1,0
豖,1,1,3,4
子,2,1,1,1
木,1,1,1,1
&CDP-88A1;,4,6,0,0
衤,1,1,2,2
&CDP-8CBB;,5,3,1,1,
&CDP-89CA;,0,1,1,2
𠃍,1,1,0,0
肃,3,3,1,1
𧘇,0,1,1,3
